坤之復,眾鬼所趨，反作大怪。九身無頭，魂驚魄去。不可以居。
坤之無妄,延頭遠望，眯為目疾。不見叔姬，使伯心憂。
坤之大畜,典冊法書，藏在蘭臺。雖遭亂潰，獨不遇災。
坤之頤,自衛反魯，時不我與。冰炭異室，仁道隔塞。
坤之大過,瘤癭禿疥，為身瘡害。疾病癃殘，常不遠逮。
坤之坎,東齊郭盧，嫁於洛都。俊良美好，媒利過倍。
坤之離,齊魯爭言，戰於龍門。搆怨連禍，三世不安。
坤之咸,膏澤肥壤，農人豐敵。利居長安，歷世無患。
坤之恆,倉盈庾億，宜種黍稷。年豐歲熟，民得安息。
坤之遯,鴟鴞破斧，邦人危殆。賴其忠德，轉禍為福，傾危復立。
坤之大壯,歲飢無年，虐政害民。乾溪驪山，秦楚結冤。
坤之晉,栵潔累累，締結難解。嫫母衒嫁，媒不得坐，自為身禍。
坤之明夷,訾陬開門，鶴鳴彈冠。章甫進用，舞韶和鸞。三人翼事，國無災患。
坤之家人,弟妹合居，與類相扶。願慕群醜，不離其處。
坤之睽,邯鄲反言，兄弟生患。涉叔憂恨，卒死不還。
坤之蹇,三人逐兔，各爭有得。愛亡善走，多獲鹿子。
坤之解,北辰紫宮，衣冠立中。含和建德，常受天福。
坤之損,拜跪請免，不得其哺。俛首衘枚，低頭北去。
坤之益,鶴盜我珠，逃於東隅。求之郭墟，不見所居。
坤之夬,一簧兩舌，妄言謬語。三姦成虎，曾母投杼。
坤之姤,孤獨特處，莫與為旅。身日勞苦，使布五谷，陰陽順序。
坤之萃,褰衣涉河，澗流浚多。賴遇舟子，濟脫無他。
坤之升,憑河登山，道路阻難，求事少便。
坤之困,兔罝之容，不失其恭。和謙致樂，君子攸同。
坤之井,三女求夫，伺候山隅。不見復關，泣涕漣如。
坤之革,螟蟲為賊，害我五穀。中霤空虛，家無所食。
坤之鼎,望尚阿衡，太宰國公。藩屏輔弼，福祿來同。
坤之震,三年生狗，以戌為母。荊夷上侵，姬伯出走。
坤之艮,塗遏道塞，求事不得。
坤之漸,探懷得蚤，無有凶憂。所願失道，善居漸好。
坤之歸妹,飛樓屬道，趾多攪垣。居之不安，覆厭為患。
坤之豐,義不勝情，以欲自傾。幾危利寵，折角摧頸。
坤之旅,潼滃蔚薈，扶首來會。津液來降，流淹滂霈。
坤之巽,白駒生芻，猗猗盛姝。赫喧君子，樂以忘憂。
坤之兌,車馳人趍，卷甲相仇。齊魯寇戰，敗於犬丘。
坤之渙,舉首望城，不見子貞，使我悔生。
坤之節,龍鬭時門，失理傷賢。內畔外賊，則生禍難。
坤之中孚,安如泰山，福喜屢臻。雖有豺虎，不致危身。
坤之小過,初憂後喜，與福為市。八佾列陳，飲御嘉友。
坤之既濟,持刀操肉，對酒不食。夫行從軍，小子入獄，抱膝獨宿。
坤之未濟,陰衰老極，陽建其德。履離戴光，天下昭明。功業不長，蝦䗫代王。
屯之屯,兵征大宛，北出玉關。與胡寇戰，平城道西，七日絕糧，身幾不全。
屯之乾,汎汎柏舟，流行不休。耿耿寤寐，心懷大憂。仁不逢時，復隱窮居。
屯之坤,採薪得麟，大命隕顛。豪雄爭名，天下四分。
屯之蒙,山崩谷絕，天福盡竭。涇渭失紀，玉厤盡已。
屯之需,夏臺羑里，湯文所厄。鬼侯俞賄，商王解舍。
屯之訟,泥津汙辱，棄捐溝瀆。所共笑哭，終不顯錄。
屯之師,李梅冬實，國多盜賊。擾亂並作，君不能息。
屯之比,獐鹿逐牧，飽歸其居。反還次舍，無有疾故。
屯之小畜,夾河為婚，期至無船。淫心失望，不見所歡。
屯之履,百足俱行，相輔為強。三聖翼事，王室寵光。
屯之泰,坐位失處，不能自居。賊破王邑，陰陽顛倒。
屯之否,登几上輿，駕駟南遊。合從散橫，燕齊以強。
屯之同人,三孫荷弩，無益於輔。城弱不守，邦君受討。
屯之大有,河伯大呼，津不得渡。船空無人，往來亦難。
